year,match,home,OTHER,goal_difference,half_time_goal_difference,L_goals,O_goals,L_half_time_goals,O_half_time_goals,L_shots,O_shots,L_shots_on_target,O_shots_on_target,L_corners,O_corners,L_fouls_committed,O_fouls_committed,L_yellow_cards,O_yellow_cards,L_red_cards,O_red_cards,points
13-14,36,1,Chelsea,-2.0,-1.0,0.0,2.0,0.0,1.0,26.0,11.0,8.0,4.0,14.0,3.0,9.0,7.0,0.0,4.0,0.0,0.0,80.0
13-14,37,0,Crystal Palace,0.0,1.0,3.0,3.0,1.0,0.0,26.0,10.0,9.0,6.0,7.0,7.0,12.0,7.0,3.0,2.0,0.0,0.0,81.0
13-14,38,1,Newcastle,1.0,-1.0,2.0,1.0,0.0,1.0,13.0,8.0,5.0,2.0,6.0,2.0,8.0,16.0,1.0,3.0,0.0,2.0,84.0
12-13,1,0,West Brom,-3.0,-1.0,0.0,3.0,0.0,1.0,14.0,15.0,7.0,10.0,3.0,7.0,11.0,10.0,4.0,1.0,1.0,0.0,0.0
12-13,2,1,Man City,0.0,1.0,2.0,2.0,1.0,0.0,15.0,11.0,8.0,5.0,4.0,4.0,10.0,7.0,1.0,0.0,0.0,0.0,1.0
12-13,3,1,Arsenal,-2.0,-1.0,0.0,2.0,0.0,1.0,17.0,11.0,8.0,7.0,10.0,2.0,12.0,7.0,2.0,2.0,0.0,0.0,1.0
12-13,4,0,Sunderland,0.0,-1.0,1.0,1.0,0.0,1.0,20.0,6.0,9.0,4.0,7.0,2.0,10.0,18.0,2.0,1.0,0.0,0.0,2.0
12-13,5,1,Man United,-1.0,0.0,1.0,2.0,0.0,0.0,13.0,8.0,8.0,4.0,7.0,3.0,14.0,7.0,1.0,2.0,1.0,0.0,2.0
12-13,6,0,Norwich,3.0,2.0,5.0,2.0,2.0,0.0,10.0,10.0,6.0,7.0,5.0,5.0,2.0,5.0,0.0,1.0,0.0,0.0,5.0
12-13,7,1,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,5.0,3.0,5.0,5.0,9.0,16.0,0.0,6.0,0.0,0.0,6.0
12-13,8,1,Reading,1.0,1.0,1.0,0.0,1.0,0.0,23.0,8.0,13.0,5.0,6.0,5.0,13.0,6.0,1.0,1.0,0.0,0.0,9.0
12-13,9,0,Everton,0.0,0.0,2.0,2.0,2.0,2.0,12.0,17.0,5.0,8.0,5.0,9.0,18.0,16.0,3.0,4.0,0.0,0.0,10.0
12-13,10,1,Newcastle,0.0,-1.0,1.0,1.0,0.0,1.0,20.0,10.0,12.0,3.0,14.0,3.0,10.0,13.0,0.0,1.0,0.0,1.0,11.0
12-13,11,0,Chelsea,0.0,-1.0,1.0,1.0,0.0,1.0,9.0,12.0,5.0,3.0,7.0,4.0,13.0,12.0,3.0,1.0,0.0,0.0,12.0
12-13,12,1,Wigan,3.0,0.0,3.0,0.0,0.0,0.0,22.0,9.0,11.0,3.0,10.0,5.0,9.0,11.0,0.0,3.0,0.0,0.0,15.0
12-13,13,0,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,21.0,17.0,14.0,8.0,6.0,7.0,10.0,6.0,0.0,1.0,0.0,0.0,16.0
12-13,14,0,Tottenham,-1.0,-2.0,1.0,2.0,0.0,2.0,14.0,14.0,9.0,7.0,12.0,1.0,14.0,4.0,2.0,1.0,0.0,0.0,16.0
12-13,15,1,Southampton,1.0,1.0,1.0,0.0,1.0,0.0,24.0,8.0,11.0,4.0,10.0,4.0,10.0,8.0,2.0,0.0,0.0,0.0,19.0
12-13,16,0,West Ham,1.0,-1.0,3.0,2.0,1.0,2.0,16.0,9.0,8.0,6.0,5.0,2.0,10.0,12.0,2.0,1.0,0.0,0.0,22.0
12-13,17,1,Aston Villa,-2.0,-2.0,1.0,3.0,0.0,2.0,26.0,9.0,17.0,6.0,7.0,2.0,4.0,11.0,1.0,2.0,0.0,0.0,22.0
12-13,18,1,Fulham,4.0,2.0,4.0,0.0,2.0,0.0,22.0,7.0,12.0,6.0,8.0,2.0,13.0,6.0,1.0,2.0,0.0,0.0,25.0
12-13,19,0,Stoke,-2.0,-1.0,1.0,3.0,1.0,2.0,12.0,7.0,6.0,6.0,8.0,6.0,5.0,11.0,1.0,3.0,0.0,0.0,25.0
12-13,20,0,QPR,3.0,3.0,3.0,0.0,3.0,0.0,16.0,14.0,11.0,7.0,9.0,1.0,8.0,10.0,1.0,2.0,0.0,0.0,28.0
12-13,21,1,Sunderland,3.0,2.0,3.0,0.0,2.0,0.0,27.0,6.0,16.0,5.0,9.0,5.0,8.0,5.0,0.0,1.0,0.0,0.0,31.0
12-13,22,0,Man United,-1.0,-1.0,1.0,2.0,0.0,1.0,12.0,15.0,5.0,10.0,1.0,3.0,16.0,14.0,4.0,1.0,0.0,0.0,31.0
12-13,23,1,Norwich,5.0,2.0,5.0,0.0,2.0,0.0,17.0,5.0,10.0,3.0,10.0,4.0,10.0,8.0,1.0,1.0,0.0,0.0,34.0
12-13,24,0,Arsenal,0.0,1.0,2.0,2.0,1.0,0.0,10.0,14.0,5.0,6.0,6.0,8.0,11.0,9.0,1.0,3.0,0.0,0.0,35.0
12-13,25,0,Man City,0.0,0.0,2.0,2.0,1.0,1.0,21.0,9.0,12.0,5.0,10.0,9.0,7.0,14.0,4.0,2.0,0.0,0.0,36.0
12-13,26,1,West Brom,-2.0,0.0,0.0,2.0,0.0,0.0,23.0,4.0,14.0,3.0,13.0,5.0,9.0,9.0,1.0,4.0,0.0,0.0,36.0
12-13,27,1,Swansea,5.0,1.0,5.0,0.0,1.0,0.0,33.0,4.0,18.0,3.0,10.0,1.0,6.0,9.0,0.0,1.0,0.0,0.0,39.0
12-13,28,0,Wigan,4.0,3.0,4.0,0.0,3.0,0.0,8.0,15.0,7.0,11.0,3.0,4.0,15.0,11.0,2.0,2.0,0.0,0.0,42.0
12-13,29,1,Tottenham,1.0,0.0,3.0,2.0,1.0,1.0,10.0,15.0,4.0,9.0,1.0,4.0,9.0,8.0,1.0,1.0,0.0,0.0,45.0
12-13,30,0,Southampton,-2.0,-1.0,1.0,3.0,1.0,2.0,8.0,17.0,6.0,12.0,5.0,7.0,10.0,10.0,1.0,0.0,0.0,0.0,45.0
12-13,31,0,Aston Villa,1.0,-1.0,2.0,1.0,0.0,1.0,16.0,10.0,12.0,7.0,8.0,7.0,8.0,9.0,1.0,1.0,0.0,0.0,48.0
12-13,32,1,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10.0,12.0,4.0,12.0,2.0,8.0,4.0,0.0,1.0,0.0,0.0,49.0
12-13,33,0,Reading,0.0,0.0,0.0,0.0,0.0,0.0,26.0,7.0,15.0,5.0,9.0,4.0,8.0,9.0,1.0,2.0,0.0,0.0,50.0
12-13,34,1,Chelsea,0.0,-1.0,2.0,2.0,0.0,1.0,23.0,9.0,12.0,6.0,8.0,5.0,8.0,11.0,5.0,2.0,0.0,0.0,51.0
12-13,35,0,Newcastle,6.0,2.0,6.0,0.0,2.0,0.0,11.0,5.0,10.0,1.0,7.0,5.0,7.0,14.0,2.0,3.0,0.0,1.0,54.0
12-13,36,1,Everton,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,8.0,4.0,3.0,5.0,10.0,10.0,1.0,2.0,0.0,0.0,55.0
12-13,37,0,Fulham,2.0,0.0,3.0,1.0,1.0,1.0,20.0,10.0,14.0,8.0,8.0,7.0,10.0,2.0,1.0,0.0,0.0,0.0,58.0
12-13,38,1,QPR,1.0,1.0,1.0,0.0,1.0,0.0,27.0,10.0,20.0,3.0,14.0,0.0,7.0,3.0,1.0,3.0,0.0,0.0,61.0
11-12,1,1,Sunderland,0.0,1.0,1.0,1.0,1.0,0.0,11.0,15.0,4.0,6.0,6.0,3.0,17.0,12.0,4.0,4.0,0.0,0.0,1.0
11-12,2,0,Arsenal,2.0,0.0,2.0,0.0,0.0,0.0,13.0,10.0,8.0,6.0,5.0,9.0,6.0,11.0,2.0,2.0,0.0,1.0,4.0
11-12,3,1,Bolton,2.0,1.0,3.0,1.0,1.0,0.0,17.0,7.0,9.0,4.0,12.0,6.0,5.0,7.0,0.0,2.0,0.0,0.0,7.0
11-12,4,0,Stoke,-1.0,-1.0,0.0,1.0,0.0,1.0,20.0,3.0,11.0,1.0,12.0,2.0,13.0,12.0,1.0,0.0,0.0,0.0,7.0
11-12,5,0,Tottenham,-4.0,-1.0,0.0,4.0,0.0,1.0,5.0,24.0,2.0,16.0,1.0,4.0,9.0,10.0,4.0,1.0,2.0,0.0,7.0
11-12,6,1,Wolves,1.0,2.0,2.0,1.0,2.0,0.0,14.0,11.0,6.0,6.0,7.0,2.0,15.0,6.0,3.0,4.0,0.0,0.0,10.0
11-12,7,0,Everton,2.0,0.0,2.0,0.0,0.0,0.0,15.0,12.0,9.0,4.0,9.0,5.0,9.0,15.0,1.0,1.0,0.0,1.0,13.0
11-12,8,1,Man United,0.0,0.0,1.0,1.0,0.0,0.0,14.0,10.0,8.0,3.0,8.0,3.0,8.0,11.0,1.0,3.0,0.0,0.0,14.0
11-12,9,1,Norwich,0.0,1.0,1.0,1.0,1.0,0.0,25.0,12.0,15.0,10.0,10.0,3.0,6.0,8.0,0.0,1.0,0.0,0.0,15.0
11-12,10,0,West Brom,2.0,2.0,2.0,0.0,2.0,0.0,17.0,10.0,7.0,6.0,10.0,3.0,9.0,12.0,0.0,1.0,0.0,0.0,18.0
11-12,11,1,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,10.0,3.0,11.0,4.0,13.0,5.0,2.0,1.0,0.0,0.0,19.0
11-12,12,0,Chelsea,1.0,1.0,2.0,1.0,1.0,0.0,9.0,18.0,3.0,5.0,5.0,6.0,11.0,13.0,2.0,3.0,0.0,0.0,22.0
11-12,13,1,Man City,0.0,0.0,1.0,1.0,1.0,1.0,17.0,7.0,9.0,3.0,8.0,5.0,11.0,13.0,1.0,4.0,0.0,1.0,23.0
11-12,14,0,Fulham,-1.0,0.0,0.0,1.0,0.0,0.0,17.0,19.0,9.0,13.0,10.0,2.0,9.0,12.0,1.0,3.0,1.0,0.0,23.0
11-12,15,1,QPR,1.0,0.0,1.0,0.0,0.0,0.0,21.0,6.0,15.0,2.0,17.0,5.0,12.0,5.0,2.0,0.0,0.0,0.0,26.0
11-12,16,0,Aston Villa,2.0,2.0,2.0,0.0,2.0,0.0,19.0,16.0,12.0,8.0,10.0,4.0,14.0,5.0,2.0,1.0,0.0,0.0,29.0
11-12,17,0,Wigan,0.0,0.0,0.0,0.0,0.0,0.0,18.0,15.0,10.0,10.0,14.0,7.0,12.0,16.0,2.0,1.0,0.0,0.0,30.0
11-12,18,1,Blackburn,0.0,-1.0,1.0,1.0,0.0,1.0,28.0,5.0,13.0,2.0,9.0,2.0,5.0,15.0,1.0,0.0,0.0,0.0,31.0
11-12,19,1,Newcastle,2.0,0.0,3.0,1.0,1.0,1.0,15.0,5.0,7.0,2.0,7.0,0.0,7.0,11.0,0.0,2.0,0.0,0.0,34.0
11-12,20,0,Man City,-3.0,-2.0,0.0,3.0,0.0,2.0,18.0,10.0,10.0,8.0,6.0,5.0,7.0,13.0,2.0,1.0,0.0,1.0,34.0
11-12,21,1,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,5.0,1.0,11.0,1.0,6.0,11.0,0.0,3.0,0.0,0.0,35.0
11-12,22,0,Bolton,-2.0,-1.0,1.0,3.0,1.0,2.0,11.0,15.0,8.0,8.0,5.0,5.0,13.0,10.0,2.0,0.0,0.0,0.0,35.0
11-12,23,0,Wolves,3.0,0.0,3.0,0.0,0.0,0.0,23.0,5.0,14.0,1.0,4.0,5.0,8.0,6.0,3.0,1.0,0.0,0.0,38.0
11-12,24,1,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,10.0,6.0,7.0,4.0,6.0,11.0,2.0,2.0,0.0,0.0,39.0
11-12,25,0,Man United,-1.0,0.0,1.0,2.0,0.0,0.0,9.0,11.0,6.0,6.0,3.0,4.0,11.0,10.0,1.0,1.0,0.0,0.0,39.0
11-12,26,1,Arsenal,-1.0,0.0,1.0,2.0,1.0,1.0,12.0,10.0,4.0,7.0,12.0,0.0,11.0,9.0,0.0,1.0,0.0,0.0,39.0
11-12,27,0,Sunderland,-1.0,0.0,0.0,1.0,0.0,0.0,9.0,6.0,5.0,1.0,2.0,3.0,15.0,13.0,1.0,1.0,0.0,0.0,39.0
11-12,28,1,Everton,3.0,1.0,3.0,0.0,1.0,0.0,15.0,5.0,10.0,3.0,4.0,4.0,6.0,7.0,1.0,4.0,0.0,0.0,42.0
11-12,29,0,QPR,-1.0,0.0,2.0,3.0,0.0,0.0,18.0,10.0,11.0,5.0,17.0,7.0,6.0,8.0,0.0,0.0,0.0,0.0,42.0
11-12,30,1,Wigan,-1.0,-1.0,1.0,2.0,0.0,1.0,12.0,6.0,9.0,5.0,6.0,0.0,14.0,10.0,1.0,2.0,0.0,0.0,42.0
11-12,31,0,Newcastle,-2.0,-1.0,0.0,2.0,0.0,1.0,9.0,11.0,6.0,7.0,6.0,3.0,11.0,10.0,3.0,3.0,1.0,0.0,42.0
11-12,32,1,Aston Villa,0.0,-1.0,1.0,1.0,0.0,1.0,21.0,5.0,5.0,3.0,11.0,3.0,4.0,9.0,1.0,1.0,0.0,0.0,43.0
11-12,33,0,Blackburn,1.0,1.0,3.0,2.0,2.0,1.0,16.0,10.0,12.0,4.0,4.0,4.0,12.0,16.0,5.0,4.0,1.0,0.0,46.0
11-12,34,1,West Brom,-1.0,0.0,0.0,1.0,0.0,0.0,28.0,9.0,12.0,4.0,15.0,3.0,10.0,8.0,2.0,0.0,0.0,0.0,46.0
11-12,35,0,Norwich,3.0,2.0,3.0,0.0,2.0,0.0,15.0,8.0,9.0,3.0,7.0,5.0,4.0,9.0,0.0,4.0,0.0,0.0,49.0
11-12,36,1,Fulham,-1.0,-1.0,0.0,1.0,0.0,1.0,18.0,7.0,5.0,4.0,5.0,4.0,11.0,7.0,0.0,0.0,0.0,0.0,49.0
11-12,37,1,Chelsea,3.0,3.0,4.0,1.0,3.0,0.0,23.0,9.0,13.0,5.0,7.0,4.0,15.0,13.0,2.0,4.0,0.0,0.0,52.0
11-12,38,0,Swansea,-1.0,0.0,0.0,1.0,0.0,0.0,14.0,13.0,9.0,8.0,5.0,6.0,5.0,5.0,1.0,1.0,0.0,0.0,52.0
10-11,1,1,Arsenal,0.0,0.0,1.0,1.0,0.0,0.0,7.0,14.0,4.0,7.0,9.0,11.0,13.0,15.0,1.0,3.0,1.0,1.0,1.0
10-11,2,0,Man City,-3.0,-1.0,0.0,3.0,0.0,1.0,13.0,8.0,7.0,3.0,4.0,5.0,12.0,13.0,1.0,1.0,0.0,0.0,1.0
10-11,3,1,West Brom,1.0,0.0,1.0,0.0,0.0,0.0,11.0,14.0,7.0,5.0,7.0,6.0,9.0,8.0,0.0,0.0,0.0,1.0,4.0
10-11,4,0,Birmingham,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,8.0,3.0,3.0,4.0,9.0,8.0,0.0,1.0,0.0,0.0,5.0
10-11,5,0,Man United,-1.0,-1.0,2.0,3.0,0.0,1.0,7.0,16.0,1.0,7.0,1.0,6.0,10.0,15.0,1.0,4.0,0.0,0.0,5.0
10-11,6,1,Sunderland,0.0,0.0,2.0,2.0,1.0,1.0,13.0,10.0,5.0,1.0,3.0,3.0,15.0,7.0,3.0,1.0,0.0,0.0,6.0
10-11,7,1,Blackpool,-1.0,-2.0,1.0,2.0,0.0,2.0,19.0,11.0,10.0,7.0,5.0,2.0,11.0,10.0,2.0,1.0,0.0,0.0,6.0
10-11,8,0,Everton,-2.0,-1.0,0.0,2.0,0.0,1.0,15.0,9.0,9.0,6.0,7.0,8.0,9.0,10.0,2.0,2.0,0.0,0.0,6.0
10-11,9,1,Blackburn,1.0,0.0,2.0,1.0,0.0,0.0,17.0,4.0,10.0,2.0,15.0,4.0,17.0,12.0,2.0,3.0,0.0,0.0,9.0
10-11,10,0,Bolton,1.0,0.0,1.0,0.0,0.0,0.0,10.0,14.0,4.0,10.0,4.0,1.0,13.0,15.0,2.0,2.0,0.0,0.0,12.0
10-11,11,1,Chelsea,2.0,2.0,2.0,0.0,2.0,0.0,9.0,11.0,7.0,7.0,2.0,5.0,15.0,17.0,0.0,2.0,0.0,0.0,15.0
10-11,12,0,Wigan,0.0,1.0,1.0,1.0,1.0,0.0,8.0,10.0,3.0,8.0,4.0,5.0,10.0,7.0,2.0,0.0,0.0,0.0,16.0
10-11,13,0,Stoke,-2.0,0.0,0.0,2.0,0.0,0.0,10.0,14.0,6.0,7.0,3.0,4.0,10.0,14.0,3.0,2.0,1.0,0.0,16.0
10-11,14,1,West Ham,3.0,3.0,3.0,0.0,3.0,0.0,19.0,6.0,11.0,1.0,10.0,2.0,8.0,8.0,0.0,1.0,0.0,0.0,19.0
10-11,15,0,Tottenham,-1.0,1.0,1.0,2.0,1.0,0.0,12.0,20.0,8.0,13.0,8.0,5.0,16.0,6.0,5.0,0.0,0.0,0.0,19.0
10-11,16,1,Aston Villa,3.0,2.0,3.0,0.0,2.0,0.0,12.0,5.0,7.0,2.0,4.0,3.0,12.0,13.0,0.0,1.0,0.0,0.0,22.0
10-11,17,0,Newcastle,-2.0,-1.0,1.0,3.0,0.0,1.0,16.0,8.0,7.0,5.0,5.0,2.0,13.0,19.0,1.0,2.0,0.0,0.0,22.0
10-11,18,1,Wolves,-1.0,0.0,0.0,1.0,0.0,0.0,9.0,7.0,5.0,3.0,2.0,8.0,8.0,11.0,1.0,1.0,0.0,0.0,22.0
10-11,19,1,Bolton,1.0,-1.0,2.0,1.0,0.0,1.0,16.0,10.0,7.0,4.0,7.0,4.0,11.0,16.0,2.0,2.0,0.0,0.0,25.0
10-11,20,0,Blackburn,-2.0,-2.0,1.0,3.0,0.0,2.0,13.0,10.0,9.0,4.0,7.0,0.0,13.0,14.0,1.0,1.0,0.0,0.0,25.0
10-11,21,0,Blackpool,-1.0,0.0,1.0,2.0,1.0,1.0,10.0,13.0,6.0,9.0,3.0,3.0,13.0,6.0,3.0,1.0,0.0,0.0,25.0
10-11,22,1,Everton,0.0,1.0,2.0,2.0,1.0,0.0,19.0,10.0,14.0,5.0,10.0,6.0,16.0,17.0,3.0,0.0,0.0,0.0,26.0
10-11,23,0,Wolves,3.0,1.0,3.0,0.0,1.0,0.0,15.0,11.0,10.0,4.0,4.0,5.0,17.0,6.0,3.0,0.0,0.0,0.0,29.0
10-11,24,1,Fulham,1.0,0.0,1.0,0.0,0.0,0.0,11.0,12.0,7.0,8.0,6.0,2.0,11.0,10.0,0.0,0.0,0.0,0.0,32.0
10-11,25,1,Stoke,2.0,0.0,2.0,0.0,0.0,0.0,13.0,6.0,9.0,1.0,7.0,0.0,6.0,8.0,1.0,4.0,0.0,0.0,35.0
10-11,26,0,Chelsea,1.0,0.0,1.0,0.0,0.0,0.0,7.0,14.0,4.0,4.0,3.0,4.0,9.0,9.0,1.0,1.0,0.0,0.0,38.0
10-11,27,1,Wigan,0.0,1.0,1.0,1.0,1.0,0.0,13.0,8.0,5.0,2.0,8.0,5.0,11.0,17.0,1.0,3.0,0.0,0.0,39.0
10-11,28,0,West Ham,-2.0,-2.0,1.0,3.0,0.0,2.0,12.0,17.0,8.0,11.0,8.0,6.0,8.0,10.0,1.0,0.0,0.0,0.0,39.0
10-11,29,1,Man United,2.0,2.0,3.0,1.0,2.0,0.0,17.0,12.0,10.0,7.0,6.0,4.0,12.0,12.0,2.0,3.0,0.0,0.0,42.0
10-11,30,0,Sunderland,2.0,1.0,2.0,0.0,1.0,0.0,10.0,3.0,4.0,1.0,6.0,3.0,7.0,11.0,3.0,3.0,0.0,1.0,45.0
10-11,31,0,West Brom,-1.0,0.0,1.0,2.0,0.0,0.0,13.0,17.0,9.0,14.0,5.0,0.0,15.0,10.0,3.0,2.0,0.0,0.0,45.0
10-11,32,1,Man City,3.0,3.0,3.0,0.0,3.0,0.0,15.0,13.0,7.0,4.0,6.0,2.0,6.0,3.0,1.0,0.0,0.0,0.0,48.0
10-11,33,0,Arsenal,0.0,0.0,1.0,1.0,0.0,0.0,9.0,12.0,5.0,6.0,3.0,10.0,13.0,13.0,4.0,2.0,0.0,0.0,49.0
10-11,34,1,Birmingham,5.0,2.0,5.0,0.0,2.0,0.0,17.0,10.0,13.0,6.0,5.0,2.0,7.0,12.0,1.0,0.0,0.0,0.0,52.0
10-11,35,1,Newcastle,3.0,1.0,3.0,0.0,1.0,0.0,9.0,7.0,5.0,3.0,3.0,12.0,15.0,10.0,1.0,2.0,0.0,0.0,55.0
10-11,36,0,Fulham,3.0,3.0,5.0,2.0,3.0,0.0,16.0,10.0,11.0,7.0,5.0,6.0,11.0,18.0,2.0,5.0,0.0,0.0,58.0
10-11,37,1,Tottenham,-2.0,-1.0,0.0,2.0,0.0,1.0,10.0,8.0,2.0,4.0,11.0,5.0,13.0,7.0,2.0,1.0,0.0,0.0,58.0
10-11,38,0,Aston Villa,-1.0,-1.0,0.0,1.0,0.0,1.0,9.0,10.0,4.0,8.0,5.0,4.0,12.0,12.0,2.0,2.0,0.0,0.0,58.0
09-10,1,0,Tottenham,-1.0,-1.0,1.0,2.0,0.0,1.0,6.0,17.0,3.0,11.0,5.0,6.0,16.0,14.0,3.0,3.0,0.0,0.0,0.0
09-10,2,1,Stoke,4.0,2.0,4.0,0.0,2.0,0.0,18.0,6.0,13.0,3.0,11.0,5.0,10.0,9.0,0.0,1.0,0.0,0.0,3.0
09-10,3,1,Aston Villa,-2.0,-2.0,1.0,3.0,0.0,2.0,21.0,7.0,12.0,4.0,10.0,4.0,15.0,11.0,3.0,2.0,0.0,0.0,3.0
09-10,4,0,Bolton,1.0,0.0,3.0,2.0,1.0,1.0,26.0,8.0,14.0,5.0,11.0,5.0,7.0,14.0,1.0,3.0,0.0,1.0,6.0
09-10,5,1,Burnley,4.0,2.0,4.0,0.0,2.0,0.0,27.0,6.0,16.0,3.0,7.0,5.0,8.0,10.0,0.0,2.0,0.0,0.0,9.0
09-10,6,0,West Ham,1.0,0.0,3.0,2.0,2.0,2.0,19.0,8.0,15.0,5.0,4.0,4.0,17.0,13.0,3.0,3.0,0.0,0.0,12.0
09-10,7,1,Hull,5.0,1.0,6.0,1.0,2.0,1.0,22.0,7.0,14.0,3.0,13.0,2.0,10.0,3.0,1.0,4.0,0.0,0.0,15.0
09-10,8,0,Chelsea,-2.0,0.0,0.0,2.0,0.0,0.0,12.0,12.0,3.0,8.0,8.0,5.0,17.0,14.0,1.0,1.0,0.0,0.0,15.0
09-10,9,0,Sunderland,-1.0,-1.0,0.0,1.0,0.0,1.0,15.0,13.0,6.0,7.0,7.0,1.0,17.0,20.0,1.0,2.0,0.0,0.0,15.0
09-10,10,1,Man United,2.0,0.0,2.0,0.0,0.0,0.0,11.0,7.0,6.0,5.0,5.0,1.0,20.0,11.0,2.0,3.0,1.0,1.0,18.0
09-10,11,0,Fulham,-2.0,0.0,1.0,3.0,1.0,1.0,6.0,10.0,3.0,6.0,2.0,2.0,13.0,10.0,0.0,1.0,2.0,0.0,18.0
09-10,12,1,Birmingham,0.0,-1.0,2.0,2.0,1.0,2.0,27.0,5.0,14.0,2.0,11.0,1.0,7.0,9.0,1.0,2.0,0.0,0.0,19.0
09-10,13,1,Man City,0.0,0.0,2.0,2.0,0.0,0.0,10.0,9.0,6.0,6.0,7.0,3.0,9.0,13.0,2.0,0.0,0.0,0.0,20.0
09-10,14,0,Everton,2.0,1.0,2.0,0.0,1.0,0.0,9.0,12.0,7.0,8.0,4.0,6.0,12.0,15.0,0.0,1.0,0.0,0.0,23.0
09-10,15,0,Blackburn,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,11.0,3.0,8.0,1.0,9.0,15.0,0.0,1.0,0.0,0.0,24.0
09-10,16,1,Arsenal,-1.0,1.0,1.0,2.0,1.0,0.0,6.0,7.0,3.0,5.0,3.0,4.0,19.0,16.0,3.0,3.0,0.0,0.0,24.0
09-10,17,1,Wigan,1.0,1.0,2.0,1.0,1.0,0.0,12.0,8.0,7.0,5.0,13.0,0.0,12.0,11.0,1.0,1.0,0.0,0.0,27.0
09-10,18,0,Portsmouth,-2.0,-1.0,0.0,2.0,0.0,1.0,7.0,14.0,3.0,6.0,10.0,8.0,12.0,7.0,3.0,3.0,1.0,0.0,27.0
09-10,19,1,Wolves,2.0,0.0,2.0,0.0,0.0,0.0,14.0,6.0,10.0,2.0,7.0,1.0,9.0,10.0,0.0,1.0,0.0,1.0,30.0
09-10,20,0,Aston Villa,1.0,0.0,1.0,0.0,0.0,0.0,12.0,11.0,9.0,7.0,10.0,8.0,11.0,13.0,1.0,1.0,0.0,0.0,33.0
09-10,21,0,Stoke,0.0,0.0,1.0,1.0,0.0,0.0,4.0,6.0,3.0,5.0,0.0,10.0,10.0,14.0,2.0,1.0,0.0,0.0,34.0
09-10,22,1,Tottenham,2.0,1.0,2.0,0.0,1.0,0.0,13.0,7.0,5.0,5.0,2.0,3.0,11.0,17.0,2.0,3.0,0.0,0.0,37.0
09-10,23,0,Wolves,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,4.0,7.0,0.0,11.0,10.0,1.0,0.0,0.0,0.0,38.0
09-10,24,1,Bolton,2.0,1.0,2.0,0.0,1.0,0.0,13.0,4.0,6.0,1.0,11.0,3.0,12.0,10.0,1.0,3.0,0.0,0.0,41.0
09-10,25,1,Everton,1.0,0.0,1.0,0.0,0.0,0.0,9.0,6.0,4.0,3.0,8.0,8.0,11.0,23.0,3.0,3.0,1.0,1.0,44.0
09-10,26,0,Arsenal,-1.0,0.0,0.0,1.0,0.0,0.0,9.0,11.0,7.0,6.0,6.0,3.0,13.0,19.0,2.0,3.0,0.0,0.0,44.0
09-10,27,0,Man City,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,1.0,5.0,8.0,15.0,7.0,6.0,1.0,0.0,0.0,45.0
09-10,28,1,Blackburn,1.0,1.0,2.0,1.0,2.0,1.0,12.0,12.0,6.0,7.0,4.0,5.0,10.0,22.0,1.0,5.0,0.0,0.0,48.0
09-10,29,0,Wigan,-1.0,-1.0,0.0,1.0,0.0,1.0,11.0,12.0,3.0,4.0,7.0,4.0,14.0,15.0,5.0,1.0,0.0,0.0,48.0
09-10,30,1,Portsmouth,3.0,3.0,4.0,1.0,3.0,0.0,23.0,7.0,12.0,3.0,8.0,4.0,10.0,15.0,0.0,2.0,0.0,0.0,51.0
09-10,31,0,Man United,-1.0,0.0,1.0,2.0,1.0,1.0,4.0,10.0,2.0,5.0,2.0,1.0,15.0,10.0,3.0,2.0,0.0,0.0,51.0
09-10,32,1,Sunderland,3.0,2.0,3.0,0.0,2.0,0.0,25.0,7.0,16.0,2.0,9.0,2.0,11.0,9.0,0.0,1.0,0.0,0.0,54.0
09-10,33,0,Birmingham,0.0,0.0,1.0,1.0,0.0,0.0,16.0,8.0,8.0,3.0,4.0,5.0,9.0,14.0,1.0,2.0,0.0,0.0,55.0
09-10,34,1,Fulham,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,9.0,2.0,10.0,1.0,6.0,16.0,1.0,3.0,0.0,0.0,56.0
09-10,35,1,West Ham,3.0,2.0,3.0,0.0,2.0,0.0,17.0,6.0,8.0,2.0,9.0,2.0,8.0,12.0,0.0,2.0,0.0,0.0,59.0
09-10,36,0,Burnley,4.0,0.0,4.0,0.0,0.0,0.0,12.0,12.0,10.0,6.0,5.0,4.0,11.0,13.0,1.0,2.0,0.0,0.0,62.0
09-10,37,1,Chelsea,-2.0,-1.0,0.0,2.0,0.0,1.0,7.0,15.0,2.0,11.0,9.0,5.0,7.0,7.0,1.0,2.0,0.0,0.0,62.0
